tabela_origem,tabela_canonica,coluna_origem,coluna_canonica,acao,justificativa
dim_municipio,dim_municipio,mesorregiao,nm_mesorregiao,renomeada,Padronização snake_case e prefixo semântico.
dim_municipio,dim_municipio,regiao_saude,cd_regiao_saude,renomeada,Padronização snake_case e prefixo semântico.
dim_municipio,dim_municipio,regiao_saude_nome,nm_regiao_saude,renomeada,Padronização snake_case e prefixo semântico.
dim_municipio,dim_municipio,macrorregiao_saude_codigo,cd_macrorregiao_saude,renomeada,Padronização snake_case e prefixo semântico.
dim_municipio,dim_municipio,macrorregiao_saude_nome,nm_macrorregiao_saude,renomeada,Padronização snake_case e prefixo semântico.
dim_municipio,dim_municipio,qt_populacao_ibge_2022,qt_populacao_ibge_2022,mantida,Padronização snake_case e prefixo semântico.
dim_municipio,dim_municipio,ds_fonte_populacao,ds_fonte_populacao,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,cd_municipio_ibge_7,cd_municipio_ibge_7,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,cd_distrito_sp,cd_distrito_sp,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,nm_distrito,nm_distrito,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,id_subprefeitura_sp,id_subprefeitura_sp,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,nm_subprefeitura,nm_subprefeitura,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,id_crs_sms_sp,id_crs_sms_sp,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,nm_crs_sms,nm_crs_sms,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,id_sts_sms_sp,id_sts_sms_sp,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,nm_sts_sms,nm_sts_sms,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,nm_regiao_municipal_5,nm_regiao_municipal_5,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,nm_regiao_municipal_8,nm_regiao_municipal_8,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,nm_zona_popular,nm_zona_popular,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,ds_fonte_territorio,ds_fonte_territorio,mantida,Padronização snake_case e prefixo semântico.
dim_territorio_municipal,dim_territorio_municipal,dt_referencia_fonte,dt_referencia_fonte,mantida,Padronização snake_case e prefixo semântico.
dim_especialidade,dim_especialidade,ESPEC,cd_especialidade_sih,renomeada,Padronização snake_case e prefixo semântico.
dim_especialidade,dim_especialidade,aih_aprovadas,qt_aih_aprovada,renomeada,Padronização snake_case e prefixo semântico.
dim_especialidade,dim_especialidade,especialidade,nm_especialidade,renomeada,Padronização snake_case e prefixo semântico.
dim_especialidade,dim_especialidade,mapeada,fl_especialidade_mapeada,renomeada,Padronização snake_case e prefixo semântico.
dim_cid,dim_cid,cid_principal,cd_cid_principal,renomeada,Padronização snake_case e prefixo semântico.
dim_cid,dim_cid,aih_aprovadas,qt_aih_aprovada,renomeada,Padronização snake_case e prefixo semântico.
dim_cid,dim_cid,cid_descricao,ds_cid,renomeada,Padronização snake_case e prefixo semântico.
dim_cid,dim_cid,cid_descricao_abreviada,ds_cid_abreviada,renomeada,Padronização snake_case e prefixo semântico.
dim_cid,dim_cid,fonte_descricao,ds_fonte_descricao,renomeada,Padronização snake_case e prefixo semântico.
dim_cid,dim_cid,categoria,cd_categoria_cid,renomeada,Padronização snake_case e prefixo semântico.
dim_cid,dim_cid,categoria_descricao,ds_categoria_cid,renomeada,Padronização snake_case e prefixo semântico.
dim_cid,dim_cid,capitulo,cd_capitulo_cid,renomeada,Padronização snake_case e prefixo semântico.
dim_cid,dim_cid,capitulo_desc,ds_capitulo_cid,renomeada,Padronização snake_case e prefixo semântico.
dim_dominio,dim_dominio,campo,nm_campo_origem,renomeada,Padronização snake_case e prefixo semântico.
dim_dominio,dim_dominio,codigo,cd_dominio,renomeada,Padronização snake_case e prefixo semântico.
dim_dominio,dim_dominio,descricao,ds_dominio,renomeada,Padronização snake_case e prefixo semântico.
dim_dominio,dim_dominio,fonte,ds_fonte_dominio,renomeada,Padronização snake_case e prefixo semântico.
dim_dominio,dim_dominio,status,st_mapeamento,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,N_AIH,id_aih,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,IDENT,cd_tipo_aih,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,ident_descricao,ds_tipo_aih,renomeada,Padronização snake_case e prefixo semântico.
fato_internacao,fato_internacao,CNES,cd_cnes,renomeada,Padronização snake_case e prefixo semântico.
